Product Name,Product Price,Product Ratings,Product Reviews,BRAND
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
JBL Quantum 100M2 Gaming Wired Headphone with Detachabl...," Rs. 2,999 ",3,3.7,JBL
Techpunch NOISE CANCELLATION SOUND QUALITY WIRELESS HEA..., Rs. 269 ,7,3.9,Techpunch
G2L Headphone Sports Stereo Deep Bass Sound Bluetooth h..., Rs. 299 ,391,3.4,G2L
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...", Rs. 799 ,"20,710",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
FINGERS F10 Wired, Rs. 789 ,202,3.9,FINGERS
Treadmill P-47 Sports bluetooth powerful driven bass wi..., Rs. 299 ,5,3.4,Treadmill
Benix VMB-146 Bluetooth Neckband Bluetooth, Rs. 465 ,69,3.9,Benix
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
"PTron Studio Evo w/ Dual Pairing, 70H Playtime, Pristin...", Rs. 799 ,"2,340",4,PTron
JBL Quantum 100M2 Gaming Wired Headphone with Detachabl...," Rs. 2,999 ",3,3.7,JBL
Worricow gym headset Bluetooth, Rs. 286 ,68,3.5,Worricow
Ant Esports H580 Gaming Headset with Microphone Wired," Rs. 1,208 ",13,3.5,Ant
URNEED BT Sports Neckband | Wireless Bluetooth Neckband..., Rs. 300 ,7,3.9,URNEED
"GOBOULT (previously Boult) Flex 80Hrs Battery, ENC Mic,..."," Rs. 1,299 ","2,503",4,GOBOULT
Nslix Magnetic Neckband Bluetooth Earphones with Fast C..., Rs. 279 ,395,3.6,Nslix
"TABARET Bluetooth Neckband with Magnetic Earbuds,Built-...", Rs. 281 ,"13,158",4.1,TABARET
RENTOOR Over the Ear Thumping sound Wireless Sport Runn..., Rs. 393 ,14,3.9,RENTOOR
"truke BTG Thunder with 40mm Titanium Driver,70H Battery..."," Rs. 1,299 ","1,247",4.1,truke
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
TABARET Best Quality Portable Bluetooth Over Ear Headph..., Rs. 265 ,"2,340",4,TABARET
"DAEMON Kids Bluetooth Headphones, LED Light Up Over Ear..."," Rs. 1,662 ",209,4,DAEMON
Nslix Bluetooth Neckband with Tangle-Free Cable & Super..., Rs. 279 ,30,3.5,Nslix
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...", Rs. 799 ,"20,710",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
LOPAZ Wireless style headphone Transition HD Sports HD ..., Rs. 522 ,"13,158",4.1,LOPAZ
Skullcandy Hesh ANC Noise Cancelling Wireless Headphone...," Rs. 10,999 ",206,4.1,Skullcandy
FRONY B99_SH-12 Wireless Bluetooth Over the Ear Headpho..., Rs. 463 ,"3,878",3.4,FRONY
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
"PTron Studio Evo w/ Dual Pairing, 70H Playtime, Pristin...", Rs. 799 ,"2,340",4,PTron
"Skullcandy Grom Wired for Kids,Volume-Limiting, Share A..."," Rs. 2,499 ",8,2.4,Skullcandy
Worricow Wireless Bluetooth Portable Headphones With Mi..., Rs. 581 ,248,3.6,Worricow
TABARET Upgraded version Headphone Wireless Headphones ..., Rs. 279 ,6,4.3,TABARET
"GOBOULT (previously Boult) Flex 80Hrs Battery, ENC Mic,..."," Rs. 1,299 ","2,503",4,GOBOULT
"GOBOULT (previously Boult) Soniq 70H Battery, Dual Pair..."," Rs. 1,999 ","1,819",4.2,GOBOULT
Unix Mellow Wireless Headphones I 36 Hrs PlaytimeI 40MM...," Rs. 1,153 ",32,3.3,Unix
G2L Adjustable Headphones with Hi-Fi Stereo Sound Light..., Rs. 420 ,0,0,G2L
Clairbell Sunglass with (Bluetooth Earbuds) Music and b..., Rs. 668 ,0,0,Clairbell
URNEED BT Sports Neckband | Bluetooth 5.3 | Noise Cance..., Rs. 300 ,0,0,URNEED
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
"TABARET Thunder Bass Sound, Hands Free Calling Bluetoot...", Rs. 265 ,"4,064",4,TABARET
FRONY A19_SH-12 Wireless Bluetooth Over the Ear Headpho..., Rs. 529 ,"75,201",3.7,FRONY
BUFONA BUF-47 Deep Bass Foldable/ SweatProof Headset Bl..., Rs. 385 ,4,3.5,BUFONA
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
"GOBOULT (previously Boult) Fluid X 60H Battery, 40mm Dr..."," Rs. 2,299 ","13,158",4.1,GOBOULT
IMMUTABLE SH-12 Wireless Bluetooth Headphone (Multicolo..., Rs. 583 ,"1,97,161",4.1,IMMUTABLE
"Beats Studio3 - W1 Headphone Chip, Active Noise Cancell..."," Rs. 25,900 ",61,3.9,Beats
REEPUD wireless/ Headphone With FM and SD Card Slot Blu..., Rs. 544 ,13,3,REEPUD
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
